Position,ECR,Player,ADP,Bye,News / Notes
WR,110,Isaac TeSlaa(DET - BYE: 8),89,8,Isaac TeSlaa signs rookie contract with Lions »
WR,112,Mike Williams(LAC - BYE: 12),99,12,"Mike Williams returns to the Chargers on a one-year, incentive-la..."
WR,113,Dyami Brown(JAC - BYE: 8),86,8,
WR,114,Javon Baker(NE - BYE: 14),161,14,
WR,115,Malachi Corley(NYJ - BYE: 9),129,9,
WR,116,John Metchie III(HOU - BYE: 6),134,6,
WR,117,Jahan Dotson(PHI - BYE: 9),133,9,
WR,118,Tre Tucker(LV - BYE: 8),93,8,
WR,119,Tutu Atwell(LAR - BYE: 8),87,8,Tutu Atwell continues to be one of Sean McVay's favorite projects...
WR,120,Tai Felton(MIN - BYE: 6),105,6,Tai Felton signs rookie contract with Vikings »
WR,121,Curtis Samuel(BUF - BYE: 7),125,7,
WR,122,Demarcus Robinson(SF - BYE: 14),96,14,
WR,123,Noah Brown(WAS - BYE: 12),114,12,
WR,124,Jalin Hyatt(NYG - BYE: 14),146,14,Jalin Hyatt slots into Giants WR4 battle »
WR,125,Jaylin Lane(WAS - BYE: 12),121,12,Jaylin Lane enters the NFL as a fourth-round pick by the Washingt...
WR,126,Jalen Nailor(MIN - BYE: 6),110,6,
WR,127,Chimere Dike(TEN - BYE: 10),112,10,
WR,128,Jonathan Mingo(DAL - BYE: 10),175,10,
WR,129,Dont'e Thornton Jr.(LV - BYE: 8),126,8,
WR,132,Tim Patrick(DET - BYE: 8),122,8,
WR,133,KaVontae Turpin(DAL - BYE: 10),111,10,"KaVontae Turpin quietly showed explosive potential in 2024, finis..."
WR,134,Jacob Cowing(SF - BYE: 14),164,14,
WR,135,Greg Dortch(ARI - BYE: 8),139,8,
WR,136,Ray-Ray McCloud III(ATL - BYE: 5),94,5,
WR,137,Kendrick Bourne(NE - BYE: 14),173,14,
WR,138,Marquez Valdes-Scantling(SEA - BYE: 8),101,8,
WR,141,Ricky White III(SEA - BYE: 8),132,8,Ricky White III signs rookie contract with Seahawks »
WR,142,JuJu Smith-Schuster(KC - BYE: 10),143,10,
WR,143,KeAndre Lambert-Smith(LAC - BYE: 12),162,12,KeAndre Lambert-Smith signs rookie deal with Chargers »
WR,145,Olamide Zaccheaus(CHI - BYE: 5),123,5,
WR,146,Zay Jones(ARI - BYE: 8),180,8,
WR,147,Van Jefferson(TEN - BYE: 10),156,10,
WR,148,Mack Hollins(NE - BYE: 14),127,14,
WR,150,Jimmy Horn Jr.(CAR - BYE: 14),115,14,
WR,152,Nick Nash(ATL - BYE: 5),150,5,
WR,156,Jordan Watkins(SF - BYE: 14),,14,
WR,157,Arian Smith(NYJ - BYE: 9),189,9,Arian Smith signs rookie contract with Jets »
WR,158,Jake Bobo(SEA - BYE: 8),174,8,
WR,159,Josh Reynolds(NYJ - BYE: 9),144,9,
WR,165,Jamari Thrash(CLE - BYE: 9),,9,
WR,174,Antwane Wells Jr.(NYG - BYE: 14),,14,
WR,177,Donovan Peoples-Jones(NO - BYE: 11),,11,Donovan Peoples-Jones signs with Saints »
WR,178,Theo Wease Jr.(MIA - BYE: 12),,12,
WR,183,Hunter Renfrow(CAR - BYE: 14),,14,
WR,193,Michael Gallup(WAS - BYE: 12),,12,
WR,210,Robert Woods(PIT - BYE: 5),,5,
WR,215,Ja'Corey Brooks(WAS - BYE: 12),187,12,
