Round 1,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Description
17,17,Cincinnati Bengals,Mike Green,EDGE,Marshall,,"The Bengals are having issues retaining Trey Hendrickson, and Mike Green fills an instant need. There are some intriguing offensive line options available, but I think they’ll stick with EDGE rusher here."
18,18,Seattle Seahawks,Grey Zabel,OL,North Dakota State,,This makes far too much sense. The Seahawks cannot allow their offensive line to be in the shape it’s in going into their first year with Sam Darnold as their quarterback.
19,19,Tampa Bay Buccaneers,Jihaad Campbell,LB,Alabama,,"Given Chris Godwin‘s health and Mike Evans’ aging, I could see them going for a receiver here, but Jihaad Campbell is the best player at his position in the draft."
20,20,Miami Dolphins,Malaki Starks,S,Georgia,,"The Dolphins desperately need safety help. He may not be the athlete Nick Emmanwori is, but Malaki Starks will be steady for years to come."
21,21,Los Angeles Rams,Omarion Hampton,RB,North Carolina,,"The Rams acquire a dynamic running back. Kyren Williams‘ contract expires soon, and Hampton fills a major need."
22,22,Los Angeles Chargers,TreVeyon Henderson,RB,Ohio State,,"NFL Network’s Daniel Jeremiah mocked TreVeyon Henderson to the Chargers, and if there’s anyone I trust when it comes to Chargers coverage, it’s Jeremiah."
23,23,Green Bay Packers,Maxwell Hairston,CB,Kentucky,,"The Packers might soon be saying farewell to Jaire Alexander. Maxwell Hairston is an athletic, speedy corner from the SEC. He seems right up the Packers’ alley."
24,24,New York Giants,Jaxson Dart,QB,Ole Miss,,"All signs point to the Giants liking Jaxson Dart over Shedeur Sanders. Dart needs a year to sit and develop, making this a perfect situation."
25,25,Houston Texans,Josh Simmons,OL,Ohio State,,"The slide for Josh Simmons ends here. If his torn patellar checks out, he’s an easy selection as their left tackle of the future."
26,26,Pittsburgh Steelers,Emeka Egbuka,WR,Ohio State,,"With recent developments surrounding George Pickens, including him unfollowing the team on social media, I think he’s a trade candidate. Emeka Egbuka feels like a Pittsburgh Steeler."
27,27,Baltimore Ravens,Kenneth Grant,DT,Michigan,,"Kenneth Grant fills in nicely on the defensive interior, with Michael Pierce calling it a career. His run-game presence has the makings of an AFC North player."
28,28,Detroit Lions,JT Tuimoloau,EDGE,Ohio State,,JT Tuimoloau feels like a guy the Lions would covet. He had a fantastic College Football Playoff and would line up opposite Aidan Hutchinson.
29,29,Washington Commanders,Will Johnson,CB,Michigan,,The value is too good to pass up. Will Johnson reunites with Mike Sainristil.
30,30,Buffalo Bills,Jahdae Barron,DB,Texas,,"Jahdae Barron is a Brian Branch-like player, and the Bills desperately need help in the secondary. His versatility seems like something the Bills would covet."
31,31,Kansas City Chiefs,Josh Conerly Jr.,OT,Oregon,,"The Chiefs desperately need offensive line help, and Josh Conerly Jr. is the best guy on the board."
32,32,Philadelphia Eagles,Matthew Golden,WR,Texas,,Matthew Golden gives the Eagles a truly daunting trio of receivers with A.J. Green and DeVonta Smith. His value is too good to pass up.
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
