Position,ECR,Player,ADP,Bye,News / Notes
RB,93,Ty Johnson(BUF - BYE: 7),79,7,
RB,94,Sincere McCormick(LV - BYE: 8),113,8,
RB,96,Cam Akers(FA),121,,
RB,97,LeQuint Allen Jr.(JAC - BYE: 8),85,8,LeQuint Allen Jr. could play a role in the slot »
RB,98,Chris Rodriguez Jr.(WAS - BYE: 12),116,12,
RB,100,Jacory Croskey-Merritt(WAS - BYE: 12),83,12,
RB,101,Gus Edwards(FA),104,,
RB,102,Michael Carter(ARI - BYE: 8),102,8,
RB,103,Emanuel Wilson(GB - BYE: 5),98,5,
RB,104,Samaje Perine(CIN - BYE: 10),107,10,
RB,105,Dylan Laube(LV - BYE: 8),,8,
RB,106,Raheim Sanders(LAC - BYE: 12),82,12,
RB,107,Trey Sermon(PIT - BYE: 5),,5,Trey Sermon signs one-year deal with Steelers »
RB,108,Eric Gray(NYG - BYE: 14),,14,
RB,109,Ameer Abdullah(FA),120,,
RB,110,Rasheen Ali(BAL - BYE: 7),,7,
RB,111,Chris Brooks(GB - BYE: 5),,5,
RB,112,Donovan Edwards(NYJ - BYE: 9),97,9,
RB,113,Carson Steele(KC - BYE: 10),108,10,
RB,114,Emari Demercado(ARI - BYE: 8),110,8,
RB,115,Clyde Edwards-Helaire(NO - BYE: 11),101,11,
RB,116,Israel Abanikanda(SF - BYE: 14),,14,
RB,117,Kalel Mullings(TEN - BYE: 10),117,10,
RB,118,Marcus Yarns(NO - BYE: 11),99,11,
RB,119,Pierre Strong Jr.(CLE - BYE: 9),,9,
RB,120,Phil Mafah(DAL - BYE: 10),112,10,
RB,122,Ezekiel Elliott(FA),92,,
RB,123,Cordarrelle Patterson(PIT - BYE: 5),,5,
RB,124,D'Ernest Johnson(FA),,,
RB,125,Jamaal Williams(FA),,,
RB,126,Evan Hull(PIT - BYE: 5),,5,
RB,127,Deuce Vaughn(DAL - BYE: 10),106,10,
RB,128,Jeremy McNichols(WAS - BYE: 12),129,12,
RB,129,Craig Reynolds(DET - BYE: 8),,8,
RB,130,Tyler Badie(DEN - BYE: 12),128,12,
RB,131,Kenny McIntosh(SEA - BYE: 8),,8,
RB,134,Hassan Haskins(LAC - BYE: 12),,12,
RB,135,Cody Schrader(LAR - BYE: 8),,8,
RB,136,Jase McClellan(ATL - BYE: 5),,5,
RB,137,Blake Watson(DEN - BYE: 12),,12,
RB,139,Keilan Robinson(JAC - BYE: 8),,8,
RB,141,Raheem Blackshear(CAR - BYE: 14),,14,
RB,143,Tyler Goodson(IND - BYE: 11),127,11,
RB,146,Ja'Quinden Jackson(JAC - BYE: 8),,8,
RB,147,Dare Ogunbowale(HOU - BYE: 6),,6,
RB,154,Darrynton Evans(BUF - BYE: 7),,7,
RB,158,Corey Kiner(SF - BYE: 14),115,14,
RB,160,Kene Nwangwu(NYJ - BYE: 9),,9,
RB,161,Julius Chestnut(TEN - BYE: 10),,10,
RB,165,Jaydn Ott(FA),,,
RB,171,Kendall Milton(CIN - BYE: 10),,10,
RB,185,Trayveon Williams(NE - BYE: 14),,14,Trayveon Williams signs with Patriots »
RB,189,Jordan Mims(FA),,,Jordan Mims works out for Patriots »
RB,193,Kyle Juszczyk(SF - BYE: 14),105,14,
RB,202,Alec Ingold(MIA - BYE: 12),,12,
RB,210,C.J. Ham(MIN - BYE: 6),,6,
RB,241,Michael Burton(DEN - BYE: 12),,12,
RB,247,Patrick Ricard(BAL - BYE: 7),,7,
