RK,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP,Tier,Notes
16,Cameron Ward,QB2,23,8,19,13.6,2.9,0,Tier 4,"Well, there was no surprise at the top of the draft. No, last-minute shifting of the pick or drama. Tennessee zeroed in on Cam Ward, and he's now the face of the franchise moving forward. Ward walks the highwire from down to down. There are plenty of high-end moments and special plays, but Ward also has plenty of misfires and can run through cold stretches in games. If he hits his ceiling, he could be a franchise-changing player who becomes a yearly QB1. This cements him as a top-six pick in Superflex dynasty rookie drafts and as a mid-second-round pick in 1QB formats at the latest. The big worries for Ward entering year one are the lack of proven or high-end receiving talent outside of Calvin Ridley and this new-look offensive line. Without rushing upside to pad his fantasy stats weekly, can Ward produce enough with his arm, with Ridley leading the way to be a steady fantasy quarterback in his rookie season? We'll see, but I'm skeptical. Selecting Ward in rookie drafts comes with immediate production from Week 1 and a floor of QB2 production. He's an upside swing that might not consistently flash that upside until 2026."
17,Jaylin Noel,WR7,22,15,36,22.3,5.8,1,Tier 4,"Noel was disrespected by the NFL as he dropped into the third round of the NFL Draft. The Houston Texans stopped his tumble and called his name with the 15th pick in the third round. I expect Noel to use this as fuel for the fire and walk into the building with a chip on his shoulder. Noel has the play strength, route prowess, and speed to play in the slot or on the outside. He could struggle to find playing time in his rookie season with Nico Collins, Christian Kirk, and his former collegiate teammate Jayden Higgins all sitting above him on the depth chart. Collins and Kirk have had their injury issues over the last few years, so it's easily possible that Noel will be starting by midseason. While Noel's short-term playing time is up in the air, he has the talent to exceed expectations. If there was ever a time to bet on talent over situation and landing spot, IT'S NOW with Noel. He has the goods. Last year, Noel ranked in the top 30 in receiving grade and yards per route run while sitting second in deep receiving yards among FBS wide receivers (per PFF). Noel has been consistently falling to the tail end of the second-round or the top of the third-round in rookie dynasty drafts. He's my 17th overall player in 1QB and Superflex rankings. While you might not have to draft him that high, that's the time when you should start surveying the draft board and plan out when or how you'll get into position to draft Noel."
18,Jack Bech,WR8,22,17,25,20.2,2.6,2,Tier 4,"Bech heard his name called during the NFL Draft earlier than many expected. The Raiders selected him with the 26th pick in the second round. Bech enters the building with the ability to push Jakobi Meyers for the WR2 role on the team behind Brock Bowers. He should be a starter immediately, with only those two players to compete with for a hefty target share. Geno Smith will love the route running, tenacity, and sure hands (fourth in contested catch rate, minimum 20 contested targets) that Bech brings to the table. In his final season in college, Bech ranked 17th in receiving grade and 22nd in missed tackles forced (per PFF). The former tight-end plays with a physicality and passion that is infectious. Bech is a mid-second-round pick in dynasty rookie drafts."
19,Luther Burden III,WR9,21,7,16,12.4,2.6,3,Tier 4,"The manufactured touch king of Missouri heads to the Chicago Bears via the second round of the NFL Draft. The Ben Johnson faith and steam will give Burden a high floor in dynasty rookie drafts despite the muddly path to significant targets in his rookie season. Chicago did this last year with Rome Odunze as they tossed him into a crowded target tree, and it didn't work out. Burden faces a similar hurdle with Odunze, D.J. Moore, and possibly Colston Loveland ahead of him in the hierarchy. I also didn't even mention Cole Kmet or D'Andre Swift. Burden enjoyed a ton of schemed and easy looks in college as he wasn't asked to just line up every down and route guys up. It's tough to see Burden finding his way to high-end fantasy relevance in 2025 if everyone stays healthy. He's more of a long-term play in dynasty as you invest in what we hope to be a much-improved version of the Bears offense and Caleb Williams moving forward. Burden is a mid-second-round pick in dynasty rookie drafts."
20,Bhayshul Tuten,RB7,23,16,25,19.8,2.7,0,Tier 4,"Jacksonville added to their backfield with the selection of Tuten in the fourth round of the NFL Draft. Travis Etienne is gone after this year, and Tank Bigsby has only two years left on his rookie deal. Tuten could easily be the future of the Jags' rushing attack. The combine superhero posted strong tackling breaking numbers over the last two years, ranking top-ten in elusive rating in each season (per PFF). He was also tenth in yards after contact per attempt and breakaway percentage last season. It doesn't take much effort to see that Tuten could be this year's Bucky Irving, but it also wouldn't surprise me if Etienne and Bigsby do just enough to hold him off this season, and the true breakout isn't until 2026. Tuten is a late second-round home run swing in dynasty rookie drafts."
21,Elijah Arroyo,TE3,22,24,34,28.7,3.4,6,Tier 4,"Arroyo is headed to Seattle after the team called his name in the second round of the NFL Draft. The former Miami Hurricane is an athletic mismatch weapon who will push Noah Fant for snaps from the jump if his blocking is up to snuff. Fant is an unrestricted free agent after this season, so while the outlook for 2025 has its worries, it should be wheels up for Arroyo in 2026. If Copper Kupp also proves in 2025 that he doesn't have much left in the tank, Kupp could be gone, which would leave Arroyo as the second target in the passing attack behind only Jaxon Smith-Njigba. In his final season in college, Arroyo ranked 23rd in yards per route run and second in yards after the catch per reception among tight ends (minimum 20 targets, per PFF). Arroyo is a late second-round selection in dynasty rookie drafts that will occasionally fall into the third round."
22,Terrance Ferguson,TE4,22,21,43,32.5,7.6,1,Tier 4,"The Rams now have their heir apparent to Tyler Higbee. Higbee is a free agent after this season. I expect Ferguson to get his feet wet in his rookie season and assume the starting role in 2026. At tight end, high-end athleticism is so highly correlated to high-end production. Ferguson checks that box emphatically with a 9.32 RAS score, a 4.63 40-yard dash, and 91st percentile or higher marks in the vertical and broad jumps. Last year, Ferguson also crushed it in nearly every efficiency metric I can find, ranking 14th in yards per route run and receiving grade, third in yards after the catch per reception, and 22nd in missed tackles forced (per PFF)."
23,Harold Fannin Jr.,TE5,20,28,37,33,2.5,13,Tier 4,"Fannin Jr. received strong draft capital for a tight end (third round) when the Browns selected him as the heir apparent to David Njouku, who will become an unrestricted free agent after this season. Fannin Jr.'s raw athleticism might keep him from ever becoming a truly elite option in fantasy, but he now has a path, the athletic juice, and receiving chops to become Zach Ertz 2.0. Fannin Jr. ranked first and third in yards per route run and first and fifth in missed tackles forced over the last two collegiate seasons (per PFF). Fannin Jr. is a late second-round rookie draft pick who will fall into the third round in some leagues. He's an auto pick in that range and could likely go higher in tight-end premium leagues."
24,Jarquez Hunter,RB8,22,29,59,36.1,8.2,-6,Tier 4,"Hunter is arbitrage Bhayshul Tuten in rookie drafts. Hunter, much like Tuten, is headed to the NFL (Rams) via the fourth round of the NFL draft. Also, like Tuten, Hunter finds himself possibly buried for 2025 behind two veterans, but he also possesses the talent and pathway to surpass one or maybe both of them in the running back pecking order. Kyren Williams is a free agent after this season. The Rams thought so much of Blake Corum's rookie season that they addressed running back again this year. Hunter isn't the same caliber of athlete as Tuten (7.1 RAS), but he did run a 4.44 40-yard dash and finished his collegiate career with an impressive tackle-breaking resume. Hunter has ranked inside the top 24 in yards after contact per attempt in each of the last three seasons while also sitting in the top 22 in breakaway percentage in two of three years (per PFF). Hunter offers the Rams an explosive element that neither Williams nor Corum has. Last year, among 46 qualifying backs, Williams ranked 44th in explosive run rate, 37th in missed tackles forced per attempt, and 40th in yards after contact per attempt (per FantasyPointsData). Hunter is the best running back value on the board in dynasty rookie drafts. He's consistently available in the third round of dynasty rookie drafts and will occasionally fall into the fourth round. At the end of the second round, I'm looking at the board and figuring out where which pick I need to acquire to secure his services safely."
25,Cam Skattebo,RB9,23,15,23,19,2.3,-6,Tier 4,"The bulldozing behemoth back from Arizona State is headed to the Big Apple after the Giants picked him in round four of the NFL Draft. Skattebo will immediately compete with Tyrone Tracy for volume in the New York backfield. Skattebo's strengths and weaknesses are well known. He can handle heavy usage, break tackles (21st in yards after contact per attempt last year), and is an underrated receiving option (2024: tenth in yards per route run among running backs, per PFF), but he's not a home run threat. Skattebo has never ranked higher than 91st in breakaway percentage over the last three seasons (per PFF). Skattebo could become New York's volume back in 2025, or he could get stuck in a frustrating committee with Tyrone Tracy. Skattebo is a second-round rookie pick who could go anywhere from the early portion of the round or the tail end, depending on the league and its scoring settings."
26,Mason Taylor,TE6,21,19,35,25.4,5,-1,Tier 4,"Taylor is headed to the Jets after they selected him in the second round of the NFL Draft. Taylor could become the number two target in the passing attack quickly, with only Josh Reynolds and Allen Lazard as his closest competition for targets. I wasn't nearly as enamored as many with Taylor as a prospect. His athleticism was solid, with a 4.68 40-yard dash and an 83rd percentile 3-cone. Taylor should develop into a solid starting NFL tight end, but I have a hard time seeing a pathway to elite status for Taylor. Across his three seasons at LSU, he never ranked higher than 63rd in yards per route run (per PFF). Taylor finished his collegiate career with only 5.4 yards after the catch per reception and 14 missed tackles forced (129 receptions). Taylor is a late second/early third-round dynasty rookie pick that could soak up a ton of volume in year one."
27,Tyler Shough,QB3,25,23,45,33.3,7.8,-7,Tier 4,"With Derek Carr retiring, the pick of Tyler Shough inside the top 50 in the NFL Draft makes more sense. He will compete in camp to be the Saints' Week 1 starter, and I'd even call him the favorite to land the job, considering what we have seen (or have not seen) from the other players in that room. If we assume that he's the Saints' starter for 2025, he has immediate QB2 appeal for Superflex squads. If Shough can play well enough this upcoming season, it's not insane to think that he could be the team's long-term starter, although I'm highly skeptical, and I think it's best to view his starting window as maybe only one year. Last year, he was sixth in passing grade, but he ranked outside the top 20 quarterbacks in adjusted completion rate (30th), yards per attempt (24th), big-time throw rate (35th), and deep ball adjusted completion rate (72nd, per PFF). Shough is in play in the second round/early-third round of dynasty rookie drafts."
28,Jalen Royals,WR10,22,23,38,29.4,5,3,Tier 4,"Royals' draft capital outlook was unclear entering the NFL Draft. Coming from the small school of Utah State, having injuries impact his final season and his predraft process, and the common theme of people discussing this as a ""down"" wide receiver class were all factors that could push him down the board. I was hoping a team would fall in love with him and select him somewhere on Day 2, but it didn't happen. Royals did hear his name called in the fourth round of the draft by the Kansas City Chiefs. Royals will now have to sift through the muddled mess that is the Chiefs' wide receiver room. He's likely (at best) the team's WR4 this season if Xavier Worthy, Rashee Rice, and Hollywood Brown all stay healthy. He could easily find his way into the starting lineup if he can hop Juju Smith-Schuster on the depth chart and Rice misses any time recovering from injury (or suspension), or Brown is unable to stay healthy. Last year, Royals ranked 30th in yards per route run, and he averaged 166.5 receiving yards across his final four collegiate games (per PFF). He's a wonderful dart throw in dynasty rookie drafts in the third round."
29,Kyle Williams,WR11,22,15,28,20.6,3.9,-1,Tier 4,"Williams hive stand up! Williams gained a lot of traction in the fantasy community in the predraft process, with plenty of people hyping up the former Washington State late breakout. I remain a tad below consensus on Williams, but I agree that he is a viable third-round dart throw in dynasty rookie drafts. Williams didn't surpass 900 receiving yards or 2.25 yards per route run in any collegiate season until 2024 (per PFF). The hope for the Patriots' third-round draft pick is that he can avoid faceplanting like Ja'Lynn Polk and Javon Baker did last year. He'll need to hop Mack Hollins, DeMario Douglas, Kayshon Boutte, and Kendrick Bourne to see the field in 2025 as a full-time starter. We'll see if he can accomplish that task. If not, he could disappear into the ether in 2026 like New England's receiver draft picks from the last process are seemingly doing this year. With Williams concerning analytical profile, I don't think the ceiling is extremely high in fantasy, but he's worth selecting in the third round of dynasty rookie drafts if you need wide receiver depth and a flier for your squad."
30,Elic Ayomanor,WR12,22,23,37,28.6,4.5,10,Tier 4,"Ayomanor got a lot of positive buzz during the NFL Draft process, only to slip to the fourth round of the NFL Draft. The fall was possibly due to some medical concerns, but I can't fully confirm that. Ayomanor is a detailed route runner who can stretch the field (top-60 in aDOT across his final two seasons). He lands in a wide-open receiver room behind Calvin Ridley and Tyler Lockett. I wouldn't be surprised to see Ayomanor cracking the starting lineup quickly over Van Jefferson. If he hits, he'll be an outlier, but there's a path for his talent to find a way to targets in Tennessee. Ayomanor is another strong dart to toss in the third round of dynasty rookie drafts."
31,Jaydon Blue,RB10,21,21,32,26.8,4.2,-4,Tier 4,"Blue fell to the fifth round of the NFL Draft as he was swimming in a ridiculously deep running back draft class. The former Longhorn displayed some three-down big play ability in his final collegiate season. He ranked 26th in elusive rating, 35th in yards after contact per attempt, and 25th in yards per route run (per PFF). It's not hard to envision Blue having a role in the backfield immediately in Week 1, considering the lackluster players surrounding him on the Dallas Cowboys' depth chart. Javonte Williams and Miles Sanders' best football looks to be behind them. Blue could be the passing down back from Day 1 with an avenue to become the team's lead back quickly. Blue's a great depth add and dart throw in the third round of any dynasty rookie draft."
32,Pat Bryant,WR13,22,27,53,36.5,7.4,-8,Tier 4,"The Denver Broncos surprised everyone by selecting Pat Bryant in the third round of the NFL Draft. In the post-draft presser, Sean Payton compared Bryant's game loosely to his former standout receiver, Michael Thomas. While I wasn't head over heels in love with Bryant during the pre-draft process, this comparison and his surprising draft capital do raise the antenna. Bryant quietly checks the analytical boxes that we look for, ranking 18th in yards per route run and seventh in receiving grade in his final collegiate season (per PFF). He's worth tossing a dart at beginning somewhere in the third round of rookie drafts."
33,Dylan Sampson,RB11,20,22,39,28.1,4.6,1,Tier 4,"Sampson joins the Cleveland Browns after being selected in the fourth round of the NFL Draft. He'll pair with Quinshon Judkins, forming the new-look duo for the Browns' rushing attack. Yes, Jerome Ford remains on the roster, and Sampson has to outplay him to earn the RB2 job in 2025 officially, but I think that will happen because Cleveland's selection of two backs inside the top four rounds of the NFL Draft speaks volumes about their lack of faith in Ford. This easily could be Cleveland getting an updated version of Nick Chubb and Kareem Hunt for their offense. No, I'm not saying there's a direct comparison with talent, but the usage could be similar. In 2023, Sampson ranked sixth in receiving grade and 14th in yards per route run (per PFF), so there are some reasons to be encouraged with his profile if he does take over the passing down duties for the Browns. Sampson is a late third-round rookie draft pick."
34,Tai Felton,WR14,22,38,56,45.4,6.6,8,Tier 4,"The Vikings called Felton's name in the third round of the NFL Draft. Once he's up to speed, he should push Jalen Nailor for the team's starting slot receiver role. Felton was an outside receiver in college, but he'll need to move inside if he wants a shot at starting. There's no dispute that Justin Jefferson, Jordan Addison, T.J. Hockenson, and the backfield will all be above him in the target pecking order if he does earn the starting job, so there's a limited ceiling here. Felton's analytical profile is worrisome as he didn't surpass 800 receiving yards or 1.90 yards per route run until his fourth and final season at Maryland (per PFF). That isn't the look of a typical profile that screams high upside receiver for fantasy football. Felton is a decent dart throw in the late third round or fourth round of rookie drafts. Just temper your expectations for him."
35,Isaac TeSlaa,WR15,23,31,72,46.9,13.8,-8,Tier 4,"TeSlaa was one of the most surprising picks of the entire NFL Draft, both in relation to his draft capital (round three) and the amount Detroit gave up to trade up for him (three third-round picks). The Lions needed to upgrade their WR3 spot and give them some insurance for Jameson Williams, who could walk after the 2025 season. I just don't know if the highly athletic big slot (68.3% slot in college) in TeSlaa was the right answer. In his two seasons at Arkansas, he never had more than 532 receiving yards. He finished with a disappointing 5.0 yards after the catch per reception, 16.4% target per route run rate, and 1.45 yards per route run. I won't be chasing the overwhelming draft capital with TeSlaa when everything else regarding his film and analytical profile screams to stay away. TeSlaa is just another fourth-round rookie pick that will be added to a multitude of taxi squads."
36,Savion Williams,WR16,23,36,70,45.6,9.1,4,Tier 4,"The Packers added another piece to their already complicated wide receiver room with the selection of Savion Williams in the third round of the NFL Draft. Green Bay looks to continue their wide receiver by committee by approach. Williams is a jack of all trades and master of none, and Matt LaFleur will have fun deploying while fantasy gamers will want to pull their hair out. Williams looks like the WR4 (at best) on the Packers' depth chart, with some duplicity in his possible usage with Jayden Reed. Williams could be LaFleur's version of Deebo Samuel in Green Bay. Last year, he ranked 22nd in missed tackles forced and piled up 322 rushing yards (six rushing scores). Williams is yet another fourth-round/taxi squad addition that could pay off handsomely if everything swings in his direction."
37,Brashard Smith,RB12,22,36,51,44.2,4.5,-9,Tier 4,"Smith was another talented victim of this deep running back class. He dropped all the way to the seventh round of the NFL Draft, which was surprising. The Chiefs added him to their already overstocked backfield. The Chiefs are no strangers to allowing a seventh-round running back a legit shot at starting (hi, Isiah Pacheco), so we can't say that Smith has zero shot. I was enamored with Smith's receiving ability as a converted wide receiver, his lightning quickness, and his possible upside as a rusher for a player who is still getting acclimated to the position. Last year, Smith ranked 34th in breakaway percentage, second in receiving grade, and 22nd in yards per route run (per PFF). Smith is a player that I will prioritize at the top of the fourth round in rookie drafts. He could climb this depth chart quickly. After 2025, Smith and Carson Steele are the only running backs that will be under contract as Isiah Pacheco, Kareem Hunt, Elijah Mitchell, and Keaontay Ingram are all unrestricted free agents."
38,DJ Giddens,RB13,21,28,48,37.2,5.7,-7,Tier 4,"My predraft man crush for Giddens was real. He was my predraft RB6, but his fall to the fifth round of the NFL Draft has cooled my hope and outlook for his NFL future. Giddens was the 15th running back selected in the draft as he landed with the Colts. He'll compete with Khalil Herbert to earn backup duties behind the Colts' incumbent starter, Jonathan Taylor. Giddens' talent is very real after he ranked 16th in yards after contact per attempt, sixth in breakaway percentage, and 22nd in elusive rating last year (per PFF). Taylor has two years left on his current contract, but the Colts can get out of his deal after 2025 with only a 2.5 million dollar cap hit. With the uninspiring draft capital and landing spot, Giddens is just another third-round rookie draft dart throw at this point."
