Player,ADP,Bye,NEWS / NOTES
John Metchie III (HOU - BYE: 6),134,6,
Jahan Dotson (PHI - BYE: 9),133,9,
Tre Tucker (LV - BYE: 8),93,8,
Tutu Atwell (LAR - BYE: 8),87,8,"Tutu Atwell continues to be one of Sean McVay's favorite projects..."
Tai Felton (MIN - BYE: 6),105,6,"Tai Felton signs rookie contract with Vikings »"
Curtis Samuel (BUF - BYE: 7),125,7,
Demarcus Robinson (SF - BYE: 14),96,14,
Noah Brown (WAS - BYE: 12),114,12,
Jalin Hyatt (NYG - BYE: 14),146,14,"Jalin Hyatt slots into Giants WR4 battle »"
Jaylin Lane (WAS - BYE: 12),121,12,"Jaylin Lane enters the NFL as a fourth-round pick by the Washingt..."
Jalen Nailor (MIN - BYE: 6),110,6,
Chimere Dike (TEN - BYE: 10),112,10,
Jonathan Mingo (DAL - BYE: 10),175,10,
Dont'e Thornton Jr. (LV - BYE: 8),126,8,
Tim Patrick (DET - BYE: 8),122,8,
KaVontae Turpin (DAL - BYE: 10),111,10,"KaVontae Turpin quietly showed explosive potential in 2024, finis..."
Jacob Cowing (SF - BYE: 14),164,14,
Greg Dortch (ARI - BYE: 8),139,8,
Ray-Ray McCloud III (ATL - BYE: 5),94,5,
Kendrick Bourne (NE - BYE: 14),173,14,
Marquez Valdes-Scantling (SEA - BYE: 8),101,8,
Ricky White III (SEA - BYE: 8),132,8,"Ricky White III signs rookie contract with Seahawks »"
JuJu Smith-Schuster (KC - BYE: 10),143,10,
KeAndre Lambert-Smith (LAC - BYE: 12),162,12,"KeAndre Lambert-Smith signs rookie deal with Chargers »"
Olamide Zaccheaus (CHI - BYE: 5),123,5,
Zay Jones (ARI - BYE: 8),180,8,
Van Jefferson (TEN - BYE: 10),156,10,
Mack Hollins (NE - BYE: 14),127,14,
Jimmy Horn Jr. (CAR - BYE: 14),115,14,
Nick Nash (ATL - BYE: 5),150,5,
Jordan Watkins (SF - BYE: 14),,14,
Arian Smith (NYJ - BYE: 9),189,9,"Arian Smith signs rookie contract with Jets »"
Jake Bobo (SEA - BYE: 8),174,8,
Josh Reynolds (NYJ - BYE: 9),144,9,
Jamari Thrash (CLE - BYE: 9),,9,
Antwane Wells Jr. (NYG - BYE: 14),,14,
Donovan Peoples-Jones (NO - BYE: 11),,11,"Donovan Peoples-Jones signs with Saints »"
Theo Wease Jr. (MIA - BYE: 12),,12,
Hunter Renfrow (CAR - BYE: 14),,14,
Michael Gallup (WAS - BYE: 12),,12,
Robert Woods (PIT - BYE: 5),,5,
Ja'Corey Brooks (WAS - BYE: 12),187,12,
