Round 1,,,,,,,,
Pick,Rnd. Pick,Team,Player,Pos.,College,Actual,Notes,
11,11,San Francisco 49ers,Jahdae Barron,CB,Texas,,The versatile Barron can immediately slot in as the 49ers‘ starting nickel cornerback. He posted the second-highest PFF coverage grade among all cornerbacks last year (91.1) and is a perfect fit for defensive coordinator Robert Saleh’s zone-heavy scheme after playing more zone snaps than any other cornerback on PFF’s big board in 2024 (406).,
12,12,Dallas Cowboys,Emeka Egbuka,WR,Ohio State,,"Egbuka would immediately boost Dak Prescott’s receiving weapons opposite CeeDee Lamb, as Lamb and KaVontae Turpin are the team’s only qualifying receivers who finished 2024 with a separation rate above the 50th percentile. Egbuka's 91st-percentile separation rate (85.8%) from this past season signifies that he can be a boon to the Cowboys' passing game.",
13,13,Miami Dolphins,Ashton Jeanty,HB,Boise State,,"Miami goes “best player available” and lands a top-five prospect. The team has more pressing needs, but it's hard to argue against drafting one of the top running back prospects of the past decade. Jeanty broke an incredible 325 tackles in three years at Boise State. He will fuel a culture change and allow De'Von Achane to work more as a receiver.",
14,14,Indianapolis Colts,Jihaad Campbell,LB,Alabama,,"The Colts address their linebacker need in a thinner class than some of their other positions of need. Campbell offers quality and versatility alongside returning starter Zaire Franklin. His 67 defensive stops in 2024 ranked third among linebackers in the 2025 class, and he added 20 pressures and two batted passes as a pass rusher.",
15,15,Atlanta Falcons,Mike Green,EDGE,Marshall,,"The Falcons come into another draft needing help off the edge, and Green offers tantalizing, elite production. He graded above 90.0 as a pass rusher and a run defender, in addition to boasting a pass-rush win rate over 20% and a run-stop rate over 9%. He also allayed fears about his competition level at Marshall with a standout performance at the Senior Bowl.",
16,16,Arizona Cardinals,James Pearce Jr.,EDGE,Tennessee,,"The Cardinals addressed their edge room this offseason by signing Josh Sweat to a $76 million deal, but they could still stand to improve at the other spot. Pearce was one of the best pass rushers in college football over the past two seasons, leading all FBS edge defenders in pressure rate (22.4%) over that span.",
17,17,Cincinnati Bengals,Kelvin Banks Jr.,T,Texas,,"Banks is an easy pick for a Bengals offensive line that needs an infusion of talent. He played with great leverage, active feet and natural athleticism during his three years at Texas, allowing four sacks on 1,544 pass-blocking reps. He is a high-floor, Day 1 impact player at guard for a team that has struggled to adequately protect Joe Burrow.",
18,18,Seattle Seahawks,Donovan Ezeiruaku,EDGE,Boston College,,"The Seahawks likely hoped Jihaad Campbell would fall here, but it wasn’t in the cards. They take the best edge rusher available in Ezeiruaku, who had a dominant season as a pass rusher in 2024. He earned an elite 90.5 PFF pass-rushing grade to go with 14 sacks, 20 quarterback hits and 26 hurries.",
19,19,Tampa Bay Buccaneers,Malaki Starks,S,Georgia,,"The Buccaneers could easily look at a pass rusher or a linebacker here, but with Jihaad Campbell and Donovan Ezeiruaku off the board, they opt for talent over forcing a need. Starks and Antoine Winfield Jr. would be an elite safety pairing, and both could play free safety or box safety, as well as the slot.",
20,20,Denver Broncos,Omarion Hampton,HB,North Carolina,,"The Broncos‘ running game has failed to pick up steam since Sean Payton took over as head coach, ranking 31st in yards after contact per attempt (2.6) across the past two seasons. Hampton will boost that number on Day 1, evidenced by his 4.29 yards after contact per attempt (97th percentile) over the past two seasons.",
21,21,Pittsburgh Steelers,Kenneth Grant,DI,Michigan,,"Grant's rare combination of size and athleticism would improve the Steelers‘ run defense, which gave up 299 yards in last season's playoff loss to Baltimore. Cam Heyward, while still excellent, will be 36 years old in May, and the team released Larry Ogunjobi. Grant, who earned an 87.5 PFF run-defense grade in 2024, would fill a huge need for the present and future.",
22,22,Detroit Lions,Jalon Walker,LB,Georgia,,"Walker — a pass rusher with elite potential who can also play off the ball and, by all accounts, is of extremely high character — is an obvious Lions target. He recorded a 17.2% pass-rush win rate at Georgia last year and is expected to be selected much earlier than 22nd overall in the actual 2025 NFL Draft.",
23,23,Green Bay Packers,Shemar Stewart,EDGE,Texas A&M,,"The Packers grab another young, athletic edge to develop in a similar path to Rashan Gary. They won't have to thrust Stewart into an immediate starting role, as he can rotate with 2023 first-round pick Lukas Van Ness and Kingsley Enagbare. His 88.2 PFF run-defense grade in 2024 ranked fifth among all edge defenders in college football.",
24,24,New Orleans Saints,Luther Burden III,WR,Missouri,,"The Saints trade up to ensure Burden will instantly contribute to a wide receiver room with some uncertainty due to injury. His separation rate in 2024 ranked in the 88th percentile, as 84% of his targets were considered open, and he improved his missed tackles forced figure from 20 to 30 on 25 fewer receptions.",
25,25,Houston Texans,Josh Simmons,T,Ohio State,,"The Texans‘ offensive line has been a weak point in recent seasons, and trading away Laremy Tunsil won't help. They've added several veterans who are temporary solutions to the problem. Simmons, conveniently, is the top player available in this mock draft. His 99.7 pass-blocking efficiency score last season was the best among tackles on PFF's big board.",
26,26,Los Angeles Rams,Colston Loveland,TE,Michigan,,"While needs at other positions might be greater, one of the more exciting offensive weapons in the draft falls to the Rams here instead. It's no secret Sean McVay covets dynamic tight ends, and he adds the Michigan product as the Rams load up for a Super Bowl run. Loveland's 90.6 PFF receiving grade since 2023 ranked third in college football.",
27,27,Baltimore Ravens,Grey Zabel,T,North Dakota State,,"Zabel's versatility is valuable for an offensive line that could use more consistency. Only one Ravens guard earned a 65.0-plus PFF pass-blocking grade in 2024. Meanwhile, Zabel posted a 90.4 PFF overall grade in 2024 at left tackle and a 79.6 PFF overall grade in 2023 at left guard. This pick also serves as insurance for Ronnie Stanley at tackle.",
28,28,Los Angeles Chargers,Matthew Golden,WR,Texas,,"Considering Josh Palmer‘s departure and Quentin Johnston‘s unreliability, the Chargers are extremely thin at wide receiver behind Ladd McConkey. Golden's 4.29 speed led to 13 deep catches last season, which ranked 15th in college football. He'll help stretch the field while McConkey continues to dominate in the intermediate areas.",
29,29,Washington Commanders,Shavon Revel,CB,East Carolina,,"Despite the Commanders making the NFC Championship game, the team's 44.9 PFF coverage grade ranked third lowest in the NFL. There’s an added risk to drafting Shavon Revel after his torn ACL in 2024, but in his last full season at East Carolina, he forced an incompletion on 24% of his coverage snaps — the 14th-best clip in the nation.",
30,30,Buffalo Bills,Trey Amos,CB,Ole Miss,,"Amos' competitive drive and scheme diversity should be an instant hit with Sean McDermott and the Bills, instantly upgrading the cornerback position opposite Christian Benford. Amos is a physical, lengthy cornerback, and he allowed just 32 completions on 62 targets while holding opposing quarterbacks to a 54.5 passer rating when targeted last season.",
31,31,Kansas City Chiefs,Walter Nolen,DI,Ole Miss,,"Nolen can quickly develop into a disruptive interior defensive lineman in the NFL and is coming off a season at Ole Miss with 26 run stops (second most among PFF big board interior defenders). That's certainly worth taking a chance on at the end of Round 1 for the Chiefs, who have a need on the interior alongside Chris Jones.",
32,32,Philadelphia Eagles,Mykel Williams,EDGE,Georgia,,"Despite adding Azeez Ojulari and Josh Uche to offset the Josh Sweat and Brandon Graham losses, the Eagles still need edge help. In comes Mykel Williams, another Georgia product falling into Howie Roseman's lap. Williams is still developing as a pass rusher, but he's stellar against the run, evidenced by back-to-back 80.0-plus PFF overall grades.",
,,,,,,,,
Round 2,,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
33,1,Cleveland Browns,Josh Conerly Jr.,T,Oregon,,"Moving on from Jedrick Wills, the Browns land the best tackle left on the board in Josh Conerly Jr. The former Oregon Duck brings a competitive edge and consistent effort that Cleveland fans will appreciate. Over the past two seasons, he’s surrendered just two sacks.",
34,2,New York Giants,Jalen Milroe,QB,Alabama,,Milroe’s dual-threat ability and high ceiling make him an intriguing selection at No. 34. His 28 touchdowns on designed quarterback runs over the last two seasons are eight more than any other Power-Five quarterback. He’ll sit and develop behind Russell Wilson for a year.,
35,3,Tennessee Titans,Elic Ayomanor,WR,Stanford,,"The Titans may look to trade out of this spot to gain another top-100 pick, but if they stay put, Elic Ayomanor could fill a major need at wide receiver. He’s averaged 2.12 yards per route run over the past two seasons and put up 133 yards and two touchdowns on 12 targets against Travis Hunter and Colorado in 2023.",
36,4,Jacksonville Jaguars,Xavier Watts,S,Notre Dame,,"The Jaguars desperately need defensive backs with ball skills, and Xavier Watts fits that mold. He led all safeties with six interceptions in 2024 and earned an 89.7 PFF grade — fifth among all FBS safeties — while playing a key role in Notre Dame’s playoff run.",
37,5,Las Vegas Raiders,Benjamin Morrison,CB,Notre Dame,,The Raiders continue rebuilding their 31st-ranked cornerback group by adding one of the most reliable coverage players in college football. Benjamin Morrison posted a 90.5 career coverage grade — third among all cornerbacks in the class — while allowing just a 45.7% completion rate and a 44.1 passer rating into his coverage.,
38,6,New England Patriots,Jayden Higgins,WR,Iowa State,,"The Patriots give Drake Maye a big, reliable target in Jayden Higgins. The sure-handed receiver dropped just two passes in 2024 and consistently won in contested situations. He also thrived against man coverage, earning an 87.8 grade in those situations.",
39,7,Chicago Bears,Derrick Harmon,DI,Oregon,,"Harmon sliding to No. 39 would be a dream scenario for the Bears, who need more pass-rushing punch from the interior. He posted an 18.5% pass-rush win rate in 2024, the third-highest mark among all qualified defensive linemen.",
40,8,Minnesota Vikings,Tyleik Williams,DI,Ohio State,,"The Vikings added Javon Hargrave and Jonathan Allen this offseason, but both are more impactful as pass rushers than run defenders. So, that doesn’t rule out Minnesota targeting another interior presence — especially one like Tyleik Williams, who earned an 88.6 PFF run-defense grade in 2024.",
41,9,Chicago Bears,Kaleb Johnson,HB,Iowa,,"Chicago needs a more consistent ground game in 2025, and Kaleb Johnson could provide that spark. Johnson produced 43 explosive runs last season and would bring true home-run potential to an already improved Bears offense.",
42,10,New York Jets,Darius Alexander,DI,Toledo,,"The Jets’ run defense collapsed down the stretch last season, largely due to a lack of impact from their interior defenders outside of Quinnen Williams. Darius Alexander brings the athleticism and disruption they need, earning a 90.3 run-defense grade in 2024.",
43,11,San Francisco 49ers,Nic Scourton,EDGE,Texas A&M,,"The 49ers need an edge presence opposite Nick Bosa, and Scourton could fill that role. At 6-foot-3 and 257 pounds, he has the versatility to align anywhere from a 4i to a 7-technique. His 90.8 pass-rush grade over the past two seasons ranks in the 95th percentile among qualified edge defenders.",
44,12,Dallas Cowboys,Bradyn Swinson,EDGE,LSU,,"With DeMarcus Lawrence’s departure, the Cowboys need to find an edge rusher to complement Micah Parsons. Swinson’s 22.1% pass-rush win rate in 2024 — which ranked in the 97th percentile — suggests he could be the perfect Robin to Parsons’ Batman on the edge.",
45,13,Indianapolis Colts,Nick Emmanwori,S,South Carolina,,"Emmanwori put together a standout combine showing and delivered across the board in 2024 — earning 70.0-plus grades in run defense, pass rush and coverage. He recorded four interceptions last season and would add explosiveness and versatility to the Colts’ safety depth chart.",
46,14,Atlanta Falcons,Maxwell Hairston,CB,Kentucky,,"Hairston missed the middle portion of the 2024 season but was outstanding in 2023 at Kentucky, recording five interceptions, eight forced incompletions and an 85.3 coverage grade.",
47,15,Arizona Cardinals,T.J. Sanders,DI,South Carolina,,"The Cardinals continue to bolster their defensive front with the addition of Sanders. He brings intriguing upside as a pass rusher, pairing quickness and length with a solid arsenal of moves — all of which helped him earn a career-best 81.9 pass-rush grade in 2024.",
48,16,Miami Dolphins,Donovan Jackson,T,Ohio State,,Donovan Jackson finished 2024 at left tackle but would slot in as a Day 1 starter at left guard for the Dolphins. He’s a natural fit for Mike McDaniel’s outside-zone scheme and offers valuable versatility — with the ability to step in at tackle if second-year starter Patrick Paul falters.,
49,17,Cincinnati Bengals,Landon Jackson,EDGE,Arkansas,,"Landon Jackson has the prototypical frame for a modern edge rusher and plays with strong technique and a relentless motor. While his pass-rush toolbox includes an effective cross chop and long-arm move, his biggest impact will come immediately against the run.",
50,18,Seattle Seahawks,Jared Wilson,C,Georgia,,"The 2025 NFL Draft class isn’t deep at center, prompting the Seahawks to make an early move for Jared Wilson. The Georgia product earned an 84.9 pass-blocking grade in 2024 and didn’t surrender a single sack all season.",
51,19,Denver Broncos,Jalen Royals,WR,Utah State,,"The Broncos' receiving corps lacks consistent separators — none of their top three targets in 2024 posted a separation rate above 58% versus single coverage. Royals, a savvy route runner with excellent body control, recorded a 66.7% rate in that same category.",
52,20,Seattle Seahawks,Tyler Booker,G,Alabama,,"The Seahawks make overhauling their interior offensive line a top priority, doubling up with back-to-back second-round picks. Tyler Booker brings a big frame (6-foot-5, 321 pounds), didn’t allow a sack in 2024, and earned an 86.5 PFF pass-blocking grade last season.",
53,21,Tampa Bay Buccaneers,Carson Schwesinger,LB,UCLA,,"Linebacker will be a key focus for Tampa Bay in this draft, and if Carson Schwesinger is still on the board, he makes a lot of sense. His burst and playmaking ability in coverage could be exactly what the Bucs are looking for as they prepare for the post-Lavonte David era.",
54,22,Green Bay Packers,Tre Harris,WR,Ole Miss,,"Harris was highly productive in Ole Miss’ vertical passing game over the past two seasons, making him an ideal fit in Green Bay. With the Packers ranking second in deep attempt rate (16%) last season, Harris could bring immediate value as a field-stretching threat.",
55,23,Los Angeles Chargers,Elijah Arroyo,TE,Miami (FL),,"The Chargers remain thin at tight end even after signing Tyler Conklin, making Elijah Arroyo a compelling addition. Arroyo offers rare field-stretching ability for the position, finishing last season with eight deep catches for 255 deep yards — both fourth-most among FBS tight ends.",
56,24,Buffalo Bills,JT Tuimoloau,EDGE,Ohio State,,"Tuimoloau took a big step forward in 2024, racking up 15 sacks and boosting his overall grade by 12 points from the previous year to 86.2. He gets to learn from two explosive edge rushers, Greg Rousseau and Joey Bosa.",
57,25,Carolina Panthers,Princely Umanmielen,EDGE,Ole Miss,,"After ranking last in team pressure rate for two straight seasons, the Panthers add a potential difference-maker off the edge. Umanmielen’s 20.6% pressure rate in 2024 ranked eighth among 478 FBS edge rushers with at least 100 pass-rushing snaps.",
58,26,Houston Texans,TreVeyon Henderson,HB,Ohio State,,"The Texans addressed their biggest needs with a lineman in Round 1 and a trade for Tyreek Hill using a third-round pick. Henderson adds a versatile, explosive option to Houston’s offense and could develop into a long-term replacement for Joe Mixon.",
59,27,Baltimore Ravens,Jared Ivey,EDGE,Ole Miss,,"The Ravens add Ole Miss edge defender Jared Ivey on Day 2 to complement Odafe Oweh and Justin Madubuike. In a deep edge class, Ivey brings strong value — posting a 90.4 PFF pass-rush grade with eight sacks and 31 hurries over just 12 games in 2024.",
60,28,Detroit Lions,Josaiah Stewart,EDGE,Michigan,,"The Lions have done extensive pre-draft homework on Stewart, meeting with him in some capacity at least five times. His 41.2% win rate on true pass sets in 2024 led all edge defenders in the class.",
61,29,Washington Commanders,Jack Bech,WR,TCU,,"Washington gives Jayden Daniels another potential weapon in Jack Bech, who could develop into the WR2 opposite Terry McLaurin the Commanders have been seeking. Bech brings impressive athleticism and quickness for a bigger receiver.",
62,30,Buffalo Bills,Demetrius Knight Jr.,LB,South Carolina,,"Knight brings downhill explosiveness against the run — highlighted by his 85.4 run-defense grade in 2024 — and continues to show natural growth in coverage, having just earned a 74.9 grade in that area.",
63,31,Kansas City Chiefs,Aireontae Ersery,T,Minnesota,,"Ersery is one of the more experienced left tackles in the Power Five, logging over 2,000 snaps at Minnesota over the past three seasons while earning PFF grades above 73.0 in both pass protection and run blocking during that span.",
64,32,Philadelphia Eagles,Darien Porter,CB,Iowa State,,"The Eagles doubled up on cornerbacks early in last year’s draft, and it paid off with a Super Bowl win. But with most of their veteran depth now gone, the position remains a need. Porter is a raw but freakishly athletic prospect who flashed big-time upside in 2024.",
,,,,,,,,
Round 3,,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
65,1,New York Giants,Jack Sawyer,EDGE,Ohio State,,Sawyer's relentless motor and power-based game (64 pressures in 2024) make him an ideal addition to the defensive line. Sawyer's six batted pass attempts last season were tied for the most in the nation.,
66,2,Kansas City Chiefs,Azareye'h Thomas,CB,Florida State,,"Thomas is a press-man cornerback (200-plus snaps in press coverage last season) with good size and length. That skill set should be enticing to Kansas City, which utilizes press coverage at one of the highest rates in the NFL.",
67,3,Cleveland Browns,Jaylin Noel,WR,Iowa State,,"The Browns need receiving help in a big way, and Noel should provide that out of the slot. Lightning quick and strong, Noel is a crisp route runner with sure hands. His 609 deep yards ranked fourth in the nation in 2024.",
68,4,New York Jets,Ozzy Trapilo,T,Boston College,,"Trapilo likely isn't an All-Pro type of talent, but he's a consistent player who would get a chance to compete for New York's starting right tackle job immediately.",
69,5,New England Patriots,Charles Grant,T,William & Mary,,Grant is a dart throw at an athlete with a ton of potential for a team that sorely needs to improve on the offensive line. He's certainly a projection coming from the lower-level FCS.,
70,6,Jacksonville Jaguars,Mason Taylor,TE,LSU,,"Mason Taylor isn't the explosive athlete who's going to wow you with yards after the catch, but he's as reliable a pass catcher as they come with a 90.1 drop grade.",
71,7,Miami Dolphins,Jaxson Dart,QB,Ole Miss,,"The Dolphins land Dart – a potential franchise QB who could go early in the draft – here in the third round. He led all of FBS in deep passing yards (1,517) and was tied for sixth in big-time throw percentage (7.1%) last season.",
72,8,Chicago Bears,Jordan Burch,EDGE,Oregon,,"Burch isn't a complete player, but he's a smooth mover for a 295-pound EDGE and showcased plenty of upside in 2024 with an 81.3 pass-rush grade.",
73,9,Las Vegas Raiders,Quinshon Judkins,HB,Ohio State,,Vegas upgrades a running back room that ranked near the bottom last season (57.9). Judkins starred at Ole Miss and graded as PFF's fifth-best rusher last season.,
74,10,Carolina Panthers,Xavier Restrepo,WR,Miami (FL),,Adding an explosive inside wide receiver like Restrepo should only aid Bryce Young‘s development. No pass FBS catcher over the past two seasons comes close to Restrepo's 63 receptions of 15 or more yards when targeted from the slot.,
75,11,San Francisco 49ers,Shemar Turner,DI,Texas A&M,,"Doubling up on Aggies with this pick, the 49ers continue to improve their defensive line with Turner. He's capable of playing every position on the defensive line.",
76,12,Dallas Cowboys,Alfred Collins,DI,Texas,,"The interior defensive line has been a pain point in Dallas for quite some time, but Alfred Collins could be the remedy. The Texas product's 84th-percentile run-defense grade in 2024 highlights how he could impact the Cowboys' run defense from Day 1.",
77,13,New England Patriots,Dylan Sampson,HB,Tennessee,,Sampson is a potential electric playmaker to help take pressure off Drake Maye and the Patriots' offense. He gained 929 rushing yards after contact and forced 70 missed tackles in 2024.,
78,14,Arizona Cardinals,Tate Ratledge,G,Georgia,,Ratledge’s pass-blocking skills are about as clean as you’ll find of any interior lineman in this draft. He earned an 88.0 career PFF pass-blocking grade.,
79,15,Minnesota Vikings,Kyle Williams,WR,Washington State,,"Wide receiver isn't an immediate need for the Vikings, but they lack depth behind Justin Jefferson and Jordan Addison. Williams averaged 2.71 yards per route run in 2024.",
80,16,Indianapolis Colts,Omarr Norman-Lott,DI,Tennessee,,Norman-Lott was ultra-productive on a per-snap basis at Tennessee and will be able to inject some pass-rush juice (97th-percentile pass-rush grade in 2024).,
81,17,Cincinnati Bengals,Kevin Winston Jr.,S,Penn State,,"Winston offers the versatility to cover deep or drop down into the box, where his physicality turns him into a heat-seeking missile.",
82,18,Detroit Lions,Andrew Mukuba,S,Texas,,"Mukuba has the athleticism and instincts in coverage to make an immediate impact. Last season, he picked off five passes and broke up six others.",
83,19,Pittsburgh Steelers,RJ Harvey,HB,UCF,,"The Steelers need a complement to Jaylen Warren following Najee Harris‘ departure, and RJ Harvey would provide the big-play ability the team has lacked.",
84,20,Tampa Bay Buccaneers,CJ West,DI,Indiana,,"The Buccaneers have Vita Vea and Calijah Kancey as their starting defensive tackles, but West would immediately be the next-best interior defensive linemen in the group.",
85,21,Denver Broncos,Vernon Broughton,DI,Texas,,"Denver adds an undervalued rotational pass rusher on the interior with Broughton, whose length (35-inch arms) will allow him to shine in the team's 3-4 scheme.",
86,22,Los Angeles Chargers,Kyle Kennard,EDGE,South Carolina,,"Kennard comes in at No. 71 on PFF's big board, making him a great value at Pick No. 86.",
87,23,Green Bay Packers,Marcus Mbow,T,Purdue,,"Mbow has the potential to play guard or tackle in the NFL, allowing him to serve as depth for the Packers while pushing for a starting spot.",
88,24,Jacksonville Jaguars,Jordan Phillips,DI,Maryland,,Phillips could be a nice depth piece to add as a nose guard with a 7.6% run-stop rate. Jacksonville finished 22nd as a team in run-defense grade last season.,
89,25,Houston Texans,Chris Paul Jr.,LB,Ole Miss,,"Paul is more of a developmental player, but he should turn into a starter for Houston. His 13.4% run-stop percentage is the second best among linebackers in the class.",
90,26,Los Angeles Rams,Jacob Parrish,CB,Kansas State,,"Despite being a bit undersized, Parrish is a feisty defensive back with solid ball production (20 forced incompletions over the past two seasons).",
91,27,Baltimore Ravens,Dorian Strong,CB,Virginia Tech,,"Strong allowed just two touchdowns over the past two seasons, with seven forced incompletions in 2024 along with a 75.0 PFF coverage grade on the year.",
92,28,Seattle Seahawks,Jeffrey Bassa,LB,Oregon,,"Bassa engineered a well-rounded performance in 2024, earning a 72.1 PFF run-defense grade and a 70.2 PFF coverage grade.",
93,29,New Orleans Saints,Elijah Roberts,EDGE,SMU,,Robert’s 89th-percentile pass-rush grade and unique size for an edge defender should enable him to contribute as a rotational player with promising upside.,
94,30,Cleveland Browns,Damien Martinez,HB,Miami (FL),,Martinez being available at the end of the third round is good value. He thrived at multiple colleges in multiple schemes and was one of the best in the nation with a 94.4 PFF rushing grade in 2024.,
95,31,Kansas City Chiefs,Cameron Skattebo,HB,Arizona State,,Skattebo's ability to break tackles and pick up every yard available should be valued by a team like Kansas City.,
96,32,Philadelphia Eagles,Wyatt Milum,T,West Virginia,,"Milum hasn't allowed a sack since his freshman season and is a great fit for the Eagles, who need help at guard.",
97,33,Minnesota Vikings,DJ Giddens,HB,Kansas State,,Giddens is a tremendous athlete and earned PFF grades above 80.0 in both zone and man/gap concepts in 2024.,
98,34,Miami Dolphins,Joshua Farmer,DI,Florida State,,Farmer adds some much-needed interior defensive line depth for a team that doesn’t have much behind Zach Sieler following Calais Campbell‘s departure.,
99,35,New York Giants,Jonah Savaiinaea,T,Arizona,,Savaiinaea has starting experience across the line and checks all the size and strength boxes. He earned a 78.0 PFF pass-blocking grade at left tackle last season.,
100,36,San Francisco 49ers,Cameron Williams,T,Texas,,"Williams is a great fit for a Shanahan offense, as he graded in the 87th percentile on zone run plays.",
101,37,Los Angeles Rams,Anthony Belton,T,North Carolina State,,Belton is a massive tackle prospect with solid traits they can slot in as a serviceable swing tackle as he develops.,
102,38,Seattle Seahawks,Savion Williams,WR,TCU,,Williams is a big (6-foot-4 and 222 pounds) and fast (4.48-second 40-yard dash) weapon the Seahawks can use on the outside of their offense.,
,,,,,,,,
Round 4,,,,,,,,
Pick,Rnd. Pick,Team,Player,Position,School,Actual,Notes,
103,1,Tennessee Titans,Oluwafemi Oladejo,EDGE,UCLA,,-,
104,2,Cleveland Browns,Ashton Gillotte,EDGE,Louisville,,-,
105,3,New York Giants,Cobee Bryant,CB,Kansas,,-,
106,4,New England Patriots,Terrance Ferguson,TE,Oregon,,-,
107,5,Jacksonville Jaguars,Devin Neal,HB,Kansas,,-,
108,6,Las Vegas Raiders,Deone Walker,DI,Kentucky,,-,
109,7,Buffalo Bills,Isaac TeSlaa,WR,Arkansas,,-,
110,8,New York Jets,R.J. Mickens,S,Clemson,,-,
111,9,Carolina Panthers,Jonas Sanker,S,Virginia,,-,
112,10,New Orleans Saints,Aeneas Peebles,DI,Virginia Tech,,-,
113,11,San Francisco 49ers,Isaiah Bond,WR,Texas,,-,
114,12,Carolina Panthers,Seth McLaughlin,C,Ohio State,,-,
115,13,Arizona Cardinals,Nohl Williams,CB,California,,-,
116,14,Miami Dolphins,Billy Bowman Jr.,S,Oklahoma,,-,
117,15,Indianapolis Colts,Gunnar Helm,TE,Texas,,-,
118,16,Atlanta Falcons,David Walker,EDGE,Central Arkansas,,-,
119,17,Cincinnati Bengals,Jamaree Caldwell,DI,Oregon,,-,
120,18,Tennessee Titans,Lathan Ransom,S,Ohio State,,-,
121,19,Tampa Bay Buccaneers,Mello Dotson,CB,Kansas,,-,
122,20,Denver Broncos,Tez Johnson,WR,Oregon,,-,
123,21,Pittsburgh Steelers,Zy Alexander,CB,LSU,,-,
124,22,Green Bay Packers,Barrett Carter,LB,Clemson,,-,
125,23,Los Angeles Chargers,Willie Lampkin,G,North Carolina,,-,
126,24,Jacksonville Jaguars,Tai Felton,WR,Maryland,,-,
127,25,New Orleans Saints,Harold Fannin Jr.,TE,Bowling Green,,-,
128,26,Washington Commanders,Jaydon Blue,HB,Texas,,-,
129,27,Baltimore Ravens,Kyle Monangai,HB,Rutgers,,-,
130,28,Los Angeles Chargers,Kaimon Rucker,EDGE,North Carolina,,-,
131,29,Los Angeles Rams,Barryn Sorrell,EDGE,Texas,,-,
132,30,Buffalo Bills,Trevor Etienne,HB,Georgia,,-,
133,31,Kansas City Chiefs,Tory Horton,WR,Colorado State,,-,
134,32,Philadelphia Eagles,Jack Kiser,LB,Notre Dame,,-,
135,33,Miami Dolphins,Quincy Riley,CB,Louisville,,-,
136,34,Baltimore Ravens,Ty Robinson,DI,Nebraska,,-,
137,35,Seattle Seahawks,Will Howard,QB,Ohio State,,-,
138,36,San Francisco 49ers,Brandon Crenshaw-Dickson,T,Florida,,-,
,,,,,,,,
Round 5,,,,,,,,
